Data set,layers,pop,Beta,CR,generations,loss1,loss2,average
abalone,0,100,0.2,0.1,500,0.076437886170463,0.011003634386018,0.011716667987549
abalone,0,100,0.2,0.3,500,0.075047286910559,0.010525877525904,0.010591285959515
abalone,0,100,0.2,0.8,500,0.074269360156782,0.010166895567951,0.010432465043533
abalone,0,100,0.5,0.1,500,0.083881076880588,0.013023594742163,0.012292052237841
abalone,0,100,0.5,0.3,500,0.076165963601055,0.010783982805215,0.011134702381311
abalone,0,100,0.5,0.8,500,0.076735168079056,0.011147263413529,0.010370034753276
abalone,0,100,0.8,0.1,500,0.088949593752517,0.01323411591215,0.014151667111602
abalone,0,100,0.8,0.3,500,0.086297509079938,0.012713972648942,0.01273261455096
abalone,0,100,0.8,0.8,500,0.078928660212447,0.011901491602951,0.012170168570175
abalone,1,100,0.2,0.1,500,0.062242840026922,0.007765136431573,0.00754855853104
abalone,1,100,0.2,0.3,500,0.067499355101279,0.009421063693828,0.008546618241742
abalone,1,100,0.2,0.8,500,0.054478579874172,0.005906511580675,0.006194180854659
abalone,1,100,0.5,0.1,500,0.061354290748088,0.007270113652577,0.007208583585125
abalone,1,100,0.5,0.3,500,0.065894873720955,0.008412704922885,0.008853159645575
abalone,1,100,0.5,0.8,500,0.074417896506871,0.009958819174201,0.009925064007799
abalone,1,100,0.8,0.1,500,0.060834490041088,0.007461346754661,0.007698347962379
abalone,1,100,0.8,0.3,500,0.077707833638735,0.009968435844105,0.01199662834137
abalone,1,100,0.8,0.8,500,0.114156615925797,0.017859581495921,0.014408677011191
abalone,2,100,0.2,0.1,500,0.069786221500866,0.008369861014308,0.008378548550913
abalone,2,100,0.2,0.3,500,0.069279511207093,0.008627252130908,0.009720299057593
abalone,2,100,0.2,0.8,500,0.063559848985796,0.007452548647233,0.007310653200259
abalone,2,100,0.5,0.1,500,0.067087470692876,0.009119533895819,0.008628398168963
abalone,2,100,0.5,0.3,500,0.07063156156247,0.008454875184189,0.009122887339065
abalone,2,100,0.5,0.8,500,0.090147703282557,0.011667749487536,0.012424618119216
abalone,2,100,0.8,0.1,500,0.071039116708077,0.008751585748471,0.008691058583273
abalone,2,100,0.8,0.3,500,0.081256038778749,0.011052443731522,0.011388270473808
abalone,2,100,0.8,0.8,500,0.083865943911736,0.012602989385702,0.013326982269391
